Time V mNa hNa jNa Nai Ki Cai CaNSR xKs LTRPNCa HTRPNCa C0Kv43 C1Kv43 C2Kv43 C3Kv43 OKv43 CI0Kv43 CI1Kv43 CI2Kv43 CI3Kv43 OIKv43 C0Kv14 C1Kv14 C2Kv14 C3Kv14 OKv14 CI0Kv14 CI1Kv14 CI2Kv14 CI3Kv14 OIKv14 CaToT C1Herg C2Herg C3Herg OHerg IHerg
0.022 -1.1440755 0.99406969 2.2838193e-07 0.028460172 10.215177 132.13639 0.00028132228 0.91859048 0.011658749 0.14718512 0.98337889 9.163757e-05 0.0023277463 0.02175851 0.087408178 0.14378261 1.7021273e-08 3.7941612e-06 0.00046121939 0.02904533 0.71443642 5.1039469e-10 2.9478056e-07 6.3446257e-05 0.0060065255 0.20660149 3.0891219e-09 -6.5225851e-07 8.2274335e-07 0.00025838553 0.7869409 7.4308741 0.55421273 0.28954568 0.048742976 0.015618663 0.091879943 
0.023 -1.4200551 0.99389821 2.3864283e-07 0.02070466 10.215097 132.13626 0.00030470506 0.91604383 0.012039473 0.15161808 0.98341483 9.3522588e-05 0.0022811402 0.02045944 0.078750367 0.12429005 1.8083643e-08 3.9971634e-06 0.00048270393 0.030598315 0.74235591 4.9857468e-10 2.8001519e-07 5.8735792e-05 0.0054176058 0.18153617 -3.3166899e-09 6.8541238e-07 -5.730178e-07 0.00027390417 0.81258442 7.4337571 0.56911504 0.27257642 0.045391604 0.015216383 0.097700557 
0.024 -1.4475753 0.99385443 2.4333358e-07 0.015430806 10.215025 132.13617 0.00032669012 0.91321352 0.012386884 0.15626216 0.98345553 9.1757291e-05 0.0021790837 0.019019729 0.07117336 0.10929676 1.8434934e-08 4.098345e-06 0.00049600142 0.03161148 0.76544318 4.7238303e-10 2.6126444e-07 5.3902595e-05 0.0048906677 0.16117647 1.0365124e-10 -2.110472e-08 1.8130549e-07 0.00028557249 0.83346419 7.4363899 0.57935337 0.26016158 0.042898207 0.014944201 0.10264264 
0.025 -1.3367417 0.99393569 2.3806628e-07 0.011295162 10.214949 132.13608 0.00035063615 0.90972443 0.012755941 0.16174155 0.98350666 8.487071e-05 0.0019925954 0.017185728 0.063485997 0.096317621 1.7598862e-08 3.9895833e-06 0.00049143271 0.032107684 0.78764553 4.0606448e-10 2.260798e-07 4.6954327e-05 0.0042883138 0.1422379 0 9.7911768e-09 1.5239916e-07 0.00029036826 0.8530073 7.4391112 0.58629669 0.25059754 0.040815212 0.014730019 0.10756054 
0.026 -1.2711614 0.99397998 2.3501474e-07 0.0083119659 10.214875 132.136 0.0003744216 0.90581478 0.013119119 0.1676545 0.98356493 7.6309387e-05 0.0017865771 0.015361372 0.056547401 0.085522186 1.6542167e-08 3.8333303e-06 0.0004836985 0.032617866 0.8069162 3.4824876e-10 1.9539939e-07 4.089844e-05 0.0037645102 0.12586525 0 -9.4015257e-10 1.6475386e-07 0.00029382322 0.86990638 7.4416034 0.59025696 0.24374572 0.039276217 0.014596232 0.11212487 
0.027 -1.2878579 0.99396415 2.362133e-07 0.0061238928 10.214803 132.13594 0.00039724728 0.90147533 0.013479629 0.17401234 0.98363065 6.8437179e-05 0.001598851 0.0137169 0.05038043 0.0760261 1.5779418e-08 3.7310185e-06 0.0004810051 0.033269958 0.82377004 3.0904635e-10 1.7329013e-07 3.6247892e-05 0.0033346679 0.11146349 0 -1.5620403e-08 1.8277021e-07 0.00029901274 0.88473747 7.4438887 0.59251915 0.23837445 0.038122924 0.014542909 0.11644056 
0.028 -1.0816274 0.99409547 2.2919696e-07 0.0045969232 10.214737 132.13589 0.00041822544 0.89703977 0.013818517 0.18034666 0.98369894 6.0835287e-05 0.001425008 0.01225702 0.045125559 0.068267009 1.4696201e-08 3.5777264e-06 0.00047177156 0.03330052 0.83840415 2.6484155e-10 1.5004076e-07 3.1710534e-05 0.0029474985 0.099538069 0 0 1.6647665e-07 0.00030012473 0.8970535 7.4460768 0.59311944 0.23470791 0.037283911 0.014538966 0.12034977 
0.029 -0.83901748 0.99425015 2.1961637e-07 0.0034220554 10.214669 132.13584 0.00043857273 0.89215605 0.014170265 0.18717495 0.98377549 5.2501426e-05 0.001242644 0.010799103 0.040164363 0.061392388 1.3269927e-08 3.3390834e-06 0.00045420384 0.03316517 0.85204174 2.1638556e-10 1.2526738e-07 2.7053293e-05 0.0025696247 0.088688924 0 -1.4200984e-09 1.6382683e-07 0.00029741536 0.90828792 7.448251 0.59205477 0.2324411 0.036653917 0.014559573 0.12429064 
0.03 -0.65004666 0.99437237 2.1244252e-07 0.002501542 10.214598 132.1358 0.00045872266 0.88667266 0.014545791 0.19468183 0.98386302 4.4605885e-05 0.001069318 0.0094124371 0.035464296 0.054912848 1.1994396e-08 3.122212e-06 0.00043869404 0.033111047 0.86485908 1.7779653e-10 1.048479e-07 2.306709e-05 0.0022322219 0.078517302 0 6.820391e-10 1.5747958e-07 0.00029535601 0.91880301 7.4504189 0.58982645 0.23095496 0.036207086 0.014620792 0.12839071 
0.031 -0.26647301 0.99459957 1.9982844e-07 0.0018705577 10.214532 132.13577 0.0004769907 0.88135406 0.01489783 0.20182915 0.98394956 3.7676811e-05 0.00091868525 0.0082254277 0.031526372 0.049659048 1.0619085e-08 2.8794407e-06 0.00041843544 0.032568182 0.87595875 1.4218483e-10 8.621721e-08 1.9504719e-05 0.0019409282 0.07020979 0 1.2261469e-09 1.5083801e-07 0.00028999563 0.92741077 7.4525394 0.58662266 0.23057301 0.035944631 0.014694538 0.13216515 
0.032 0.088542299 0.99481912 1.8648104e-07 0.001353306 10.21446 132.13574 0.00049632688 0.87521289 0.015296153 0.20994538 0.98405155 3.0486487e-05 0.00076270978 0.0070070677 0.027564553 0.044562212 9.093084e-09 2.579563e-06 0.00039184104 0.031985582 0.88700842 1.0782645e-10 6.792797e-08 1.5965779e-05 0.0016508038 0.062069713 0 -1.8953162e-10 1.4300708e-07 0.0002817032 0.93585283 7.4547811 0.58171283 0.23129401 0.035830309 0.014786351 0.13637649 
0.033 0.37991803 0.99497249 1.7823982e-07 0.0010136052 10.214396 132.13571 0.00051268592 0.86956753 0.015655569 0.21728472 0.98414723 2.5288548e-05 0.0006467721 0.0060756006 0.024450971 0.040428016 8.0655783e-09 2.3761761e-06 0.00037409776 0.031612265 0.89570007 0 5.6196842e-08 1.3575573e-05 0.0014410288 0.055648168 0 1.5379623e-10 1.3577426e-07 0.00027642108 0.94249184 7.45673 0.57683709 0.23228031 0.035855104 0.014897175 0.14013032 
0.034 0.62131675 0.99510206 1.712288e-07 0.00073443926 10.214326 132.13569 0.00052956766 0.86313417 0.016059386 0.22551483 0.98425848 2.069912e-05 0.00054123128 0.0051993519 0.021412615 0.036213882 7.1952059e-09 2.2003205e-06 0.00035852696 0.031314039 0.90425291 0 4.6393463e-08 1.1472517e-05 0.0012469089 0.049326895 0 -9.4923968e-10 1.312457e-07 0.00027192597 0.94901384 7.458719 0.57118609 0.23348636 0.035960533 0.015051927 0.14431508 
